状元茶	配方	冰糖６０克
嘴壶夜蛾	亚门	六足亚门
粗唇高原鳅	种	crassilabris
鳕鱼（动物）	别称	鳘鱼
艾利萨海蛳螺	科	海蛳螺科
宽萼圆锥铁线莲	属	铁线莲属
岩寺皖南龙	目	鸟臀目
蚕豆镰刀菌萎蔫病	病害类型	真菌
南天麻	拉丁学名	Gastrodia javanica (Bl.) Lindl.
巨鸊鷉	属	䴙䴘属 Podilymbus
米粒谷米螺	界	动物界
橙斑刺尾鱼	别称	一字刺尾鲷、橄榄粗皮鲷、一字吊紅印倒吊、一字倒吊
朋闪夜蛾	中文学名	朋闪夜蛾
石膏山乌头	目	毛茛目
黄刺蛾	拉丁学名	Cnidocampa flavescens（Walker）
思茅厚皮香	拉丁学名	Ternstroemiasimaoensis
宽敞透孔螺	门	软体动物门
四眼宝螺	拉丁学名	Eclogavena quadrimaculata quadrimaculata
条纹芋螺	界	动物界
日本狼青犬	族	犬
玫瑰芋螺	分布区域	索马里
锦鲤	分布区域	日本
鸳鸯（鸳鸯属鸟类）	族	栖鸭族
铜背金花天牛	分布区域	甘肃
渔猫	目	食肉目
二倍体细胞	外文名称	diploid cell
特洛依木马	影响平台	XP
波状薄孔菌	中文目名	多孔菌目
雅丽步甲	纲	昆虫纲
无翼鸟科	属	1属
凹缘舟蛾	界	动物界
半柱毛兰	族	树兰族
蓝燕（雀形目燕科鸟类）	属	燕属
灰橙链霉菌	气丝	灰色。
鮟鱇	门	脊索动物门
黄金眼镜蛇雷龙	亚目	鳢亚目
黑缘美苔蛾	界	动物界
长跗角胸肖叶甲	亚目	肉食亚目
安岛海蛳螺	别称	安岛梯螺
亚太波纹蛾指名亚种	亚纲	有翅亚纲
白毛蕊茶	拉丁学名	CamelliacandidaChang.
奇莱红门兰	属	红门兰属
高山天牛	亚科	天牛亚科
剑齿虎（史前大型猫科动物）	科	猫科
悲疽夜蛾	亚门	无
毛序准噶尔乌头	亚属	乌头亚属
金枪鱼	别称	吞拿鱼
沙棘（胡颓子科沙棘属植物）	别称	酸刺
缀叶丛螟	分布区域	北京
初恋（多肉植物）	科	景天科
屏东木姜子	命名者及年代	Hay.，1911
沙燕（雀形目鸟类）	纲	鸟类
连心茶	出处	四科简效方
胧月（景天科植物名称）	亚目	虎耳草亚目
芩竹花茶	功能	清热除烦。
硬皮马勃	目	硬皮马勃目
红衣夜蛾	目	鳞翅目
V_8888	中文名	V_8888
鲁甸银莲花	界	植物界
红褐柃	拉丁学名	Eurya rubiginosa
拟蜘蛛兰	中文学名	拟蜘蛛兰
白霜杯伞	分布区域	仅发现于青海、山西、云南、甘肃等。
雪峰甜茶	中文名	雪峰甜茶
茶山（茶垢雅称）	容器	紫砂壶
Win32.Hack.NetTrash.b	影响系统	Win9x / WinNT
柠檬酸杆菌属	直径	约1.0μm
剑龙（侏罗纪晚期食草性四足恐龙）	身长	7-9米
纤细芽枝霉	目	霜霉目
太白银莲花	门	被子植物门
Worm.Troj.Ciadoor.12	中文名	间谍之门
燕雀	拉丁学名	Fringilla montifringilla
展毛弯喙乌头	门	被子植物门
棘托竹荪	界	真菌界
橘花药茶	适用	食积不化
仙女杯（多肉植物）	族	景天族
泡泡树	界	植物界
朝氏薄翅金花虫	界	动物界
山地乌头	纲	双子叶植物纲
山兰（兰科树兰族植物）	种	山兰（山兰属植物通称）
凉拌黄豆芽	中文名	凉拌黄豆芽
安哥洛卡象龟	门	脊索动物门
中华倒刺鲃	科	鲤科
苏瓣石斛	中文学名	苏瓣石斛
拳距瓜叶乌头	科	毛茛科
络毒蛾	目	鳞翅目
飞弹螺	别称	钻螺
迷你伯瑞犬	科	犬科
亚红斑芋螺	分布区域	分布于印度洋至太平洋。
宽唇盆距兰	科	兰科
甘薯瘟病	主要危害作物	甘薯
美洲白鹮	科	鹮科
黑松	分布区域	原产日本及朝鲜南部海岸地区。
雷龙（迷惑龙属恐龙）	体重	30吨
小花钗子股	种	小花钗子股
白鹡鸰东北亚种	纲	鸟纲
侧脊角胸肖叶甲	界	动物界
台湾琉璃豆金龟	门	节肢动物门
藏南藤乌	亚科	金莲花亚科
?双齿修丽金龟	科	丽金龟科
掌裂毛茛	目	毛莨目(Ranunculales)
黄石斛	亚科	兰亚科
湿唇兰	界	植物界
MSN盗号器	警惕程度	★★★☆
甘薯瘟病	别名	青枯病
金虎（猫科动物）	界	动物界
兰屿沼兰	族	树兰族
小果核果茶	纲	双子叶植物纲
惠明茶	是否含防腐剂	否
大眉纹天蚕蛾	纲	昆虫纲
双唇兰	门	被子植物门
粗腿沟臀肖叶甲	纲	昆虫纲
榆绿毛萤叶甲	分布区域	辽宁
西林芋螺	目	新腹足目
大瓣毛茛	属	毛茛属
耳朵骨螺	纲	腹足纲
制逆转链霉菌	孢子	10—50个
黑皮柿	门	被子植物门
蟹守笋螺	纲	腹足纲
细辛茶	中文名	细辛茶
小乔木	分布区域	中国长江流域，北达山东、南至浙江。日本、朝鲜半岛也有分布。
橄榄皮芋螺	中文学名	橄榄皮芋螺
传奇终结者变种RQ	警惕程度	★★★
云南盆距兰	拉丁学名	Gastrochilus yunnanensis Schltr.
棕斑鸠	亚纲	今鸟亚纲
松针毒蛾	科	毒蛾
拉步甲	英文名称	Carabus (Coptolabrus) lafossei
肉实树	拉丁学名	Sarcosperma laurinum (Benth) Hook f
白肩笔螺	科	笔螺科
羽唇兰	属	羽唇兰属
秋牡丹	分布区域	福建
海兔螺	纲	腹足纲
锦晃星	门	被子植物门
四川驼花天牛	科	天牛科
纶夜蛾	中文学名	纶夜蛾
斑鸠（鸽形目鸟类）	别名	斑鸡
钳唇兰	别称	阔叶细笔兰
今非昔比鮟鱇鱼	科	鮟鱇科
福建驼花天牛	拉丁学名	Pidonia maai（Gressitt,1951）
台湾蓝鹊（台湾特有鸟类）	英文名称	Formosan Magpie
亮轮层炭壳	中文名	亮轮层炭壳
蒜皮猫芋螺	中文学名	蒜皮猫芋螺
草野柄锈菌	纲	Basidiomycetes
弯枝乌头	属	乌头属
芙蓉（鸟类名称）	别名	芙蓉
冠纹柳莺华南亚种	拉丁学名	Phylloscopus reguloides fokiensis
食人鱼（南美洲食肉淡水鱼）	目	鲤形目Cypriniformes
巴西宝螺	拉丁学名	Luria cinerea brasilensis
藤槭	别称	葡萄槭
台湾蓝鹊（台湾特有鸟类）	界	动物界
罗德里格斯渡渡鸟	分布区域	罗德里格斯
大斑啄木鸟新疆亚种	科	啄木鸟科
矮毛法螺	纲	腹足纲
覆盆子（蔷薇科悬钩子属植物）	界	植物界
斑驼弯腿金龟	目	鞘翅目
尾丝钻柱兰	亚科	兰亚科
淡纹枯叶蛾	纲	昆虫纲
曲粘夜蛾	科	夜蛾科
小邮差变种R	传播途径	电子邮件
减肥果（越南水果）	适宜人群	营养不均衡
寺町宝螺	目	中腹足目
玫瑰绿褐链霉菌	性质	气丝海贝壳粉色
台湾唐松草	目	毛茛目
长身鮈鰕虎鱼	繁殖期	4-5月
黑枕黄鹂	亚门	脊椎动物亚门
松蘑	纲	担子菌纲
台湾毛茛	目	毛莨目
欧绒鸭	纲	鸟纲
宽距翠雀花	中文学名	宽距翠雀花
十五星裸瓢虫	界	动物界
原生主教芋螺	门	软体动物门
罗非鱼	科	丽鱼科（慈鲷科）
WORM_ScardSer.A	其他病毒名	WORM_GOLTEN.A(Trend Micro)等
大山雀	门	脊索动物门
法国斗牛犬	用途	伴侣犬、看门犬
金耳石斛	门	被子植物门
水毛茛属	族	毛茛族 Trib. Ranunculeae
蓝鳍金枪鱼（鱼类）	亚门	脊椎动物亚门
泡状枝动菌	状态	弯曲或不规则的杆菌
西藏阔蕊兰	纲	单子叶植物纲
福建角胸肖叶甲	纲	昆虫纲
韭萤叶甲	科	叶甲科
三脊角胸肖叶甲	拉丁学名	Basilepta tricarinata （Tan, 1988）
佘山绿茶	中文名	佘山绿茶
帽带企鹅	别称	纹颊企鹅
山地乌头	拉丁学名	Aconitum monticola Steinb.
大斑啄木鸟新疆亚种	种	大斑啄木鸟
中龙目	门	脊索动物门
渔猫	拉丁学名	Prionailurus viverrinus
狭叶白蝶兰	族	兰族
菜（蔬菜）	分布区域	全国各地
红衣夜蛾	亚门	六足亚门
构月天蛾	目	鳞翅目  Lepidoptera(moths)
蛇头菇	拉丁学名	Mutinus caninus (Pers.) Fr.
高茎毛兰	目	微子目
柑桔尺蛾	科	尺蛾科
小叶栲	种	小叶栲
草席钟螺	中文学名	草席钟螺
猕猴桃（水果）	分布区域	湖北
运动发酵单胞菌	发现时间	1928年
清宫仙药茶	主要营养成分	山楂
猛犸象	科	象科
槐尾孢	定名人	Saw. et Kats.
长生草属	亚科	长生草亚科
肾叶白头翁	分布区域	新疆北部，欧洲和苏联西伯利亚
柱状细胞	状态	全部呈柱状
巨骨舌鱼	目	骨舌鱼目
墨脱乌头	中文学名	墨脱乌头
思茅厚皮香	亚科	厚皮香亚科
雾鸟（天堂鸟）	分布区域	新几内亚
紫斑谷螟	别称	大斑粉螟
距瓣尾囊草	界	植物界
絮花宝螺	科	宝螺科
海兔螺	拉丁学名	Ovula ovum,Linnaeus, 1758
白黄侧耳	分布区域	河北
降脂药茶	做法	取汁饮服
云南毛茛	科	毛茛科
虹鳟鱼	界	动物界
高茎毛兰	纲	单子叶植物纲
文旦（芸香科常绿乔木植物）	亚门	被子植物亚门
迷你雪纳瑞犬（雪纳瑞犬品种）	体重	(公)6-9kg(母)6-8kg
华东唐松草	分布区域	江苏
锦葵科	亚门	木贼亚门（维管植物亚门）
滇川翠雀花	分布区域	四川
喙金环宝螺	拉丁学名	Monetaria annulus rostrate
葡萄（水果）	水分	耐干旱
夏威夷芋螺	英文名称	Hawaiian Cone
金优舟蛾指名亚种	亚门	六足亚门
川黔润楠	门	被子植物门
豆卷叶野螟	纲	昆虫纲 Insecta
贾木链轮丝菌	概述	葡糖天冬素琼脂：气丝好
南火绳	纲	双子叶植物纲
密花兰	种	密花兰
康定毛茛	目	毛莨目(Ranunculales)
愈带蜓尾花天牛	门	节肢动物门
细鳞鲴	纲	鱼纲
紫甘蓝苹果沙拉	主要食材	小黄瓜
枸杞叶芽茶	别称	“小人参”“红玛瑙”
火龙珠（水果）	特性	节间
宽角皱鞘肖叶甲	科	肖叶甲科
黑守瓜	中文学名	黑守瓜
刃齿龙	中文学名	刃齿龙
半柱毛兰	科	兰科
兰州鲇	属	鲇属
厚嘴绿鸠	拉丁学名	Treron sphenura
剑叶鸢尾兰	命名者及年代	Lindl., 1859
宿苞石仙桃	种	宿苞石仙桃
灰眶雀鹛云南亚种	亚种	灰眶雀鹛云南亚种
珠芽唐松草	拉丁学名	Thalictrum chelidonii
阿拉斯加雪橇犬	亚种	家犬
缅甸陆龟	属	缅甸陆龟属
中华倒刺鲃	种	中华倒刺鲃
紫纹兜兰	种	紫纹兜兰
单丛茶	主要营养成分	儿茶素
橙黄芋螺	纲	腹足纲
艾利萨海蛳螺	命名者及时间	Bozzetti, L., 2007
南湖毛茛	亚纲	木兰亚纲
驼角胸肖叶甲	界	动物界
云叶兰	种	云叶兰
优美宝螺	命名者及时间	Sowerby, 1846
雪白盘革菌	纲	担子菌纲
栎褐舟蛾	别称	红头虫，栎蚕舟蛾、麻栎天社蛾
沉静舒眠茶	茶材	菩提子
云南松黄毒蛾	中文学名	云南松黄毒蛾
小唇盆距兰	界	植物界
美洲红鹮	中文学名	美洲红鹮
纹猫	体重	2.4-3.7公斤
蠕虫病毒Win32.Duiskbot.AH	中文名	蠕虫病毒Win32.Duiskbot.AH
微心叶毛柃	中文学名	微心叶毛柃
灰鹡鸰加纳利亚种	命名时间	Hartert,1901
微心叶毛柃	族	杨桐族
人参乌龙茶	中文名	人参乌龙茶
贺开古树茶	古树分布	曼弄新寨、曼弄老寨
细叶白头翁	目	毛茛目
白华波纹蛾台湾亚种	界	动物界
爪哇拟塔螺	科	塔螺科
灰旋链霉菌	性质	基丝反面无色
槐（豆科槐属乔木）	别称	豆槐
南湖斑叶兰	命名者及年代	Fukuyama, 1934
“代理木马”变种pne	影响平台	Win 9X
毒滑锈伞	科	丝膜菌科
漠斑牙鲆	亚纲	辐鳍亚纲
交蓝纹夜蛾	目	鳞翅目
太平洋扁鲨	拉丁学名	Squatina californica
雷文干朽菌	外文名称	Merulius ravenelii
灯笼法螺	命名者及年代	Linnaeus, 1771
池鱼（海洋鱼类）	主要是	鲭科的鲐鱼和羽鳃鲐等
罗德里格斯渡渡鸟	中文学名	罗德里格斯渡渡鸟
黑千手螺	纲	腹足纲
小茶尺蛾	中文学名	小茶尺蛾
云树（藤黄科、藤黄属乔木）	别称	云南山竹子，给哈蒿
毒红菇	属	红菇属(Russula)
狭穗阔蕊兰	门	被子植物门
古法小单孢菌	性质	名词
珠芽瓜叶乌头	亚属	乌头亚属
铁观音秋茶	特点	干茶紧结掷杯声脆
枯叶骨螺	外文名称	Typhinellus occlusus
拉拉山三线蝶	拉丁学名	Athyma fortuna
葱（食用蔬菜）	中文学名	葱
泽丹茶	中文名	泽丹茶
弗兰德牧羊犬	亚纲	兽亚纲
西伯利亚虎（猫科动物）	别称	东北虎
霸王龙（已灭绝的白垩纪晚期爬行动物）	保护现状	已灭绝
少生孢链轮丝菌	拉丁学名	Streptoverticilliumparvisporogenes
覆盆子（蔷薇科悬钩子属植物）	目	蔷薇目
黄眉柳莺新疆亚种	门	脊索动物门
大胸角胸肖叶甲	种	大胸角胸肖叶甲
玉露（多肉植物物种）	纲	木兰纲
血叶兰	门	被子植物门
蓝燕（雀形目燕科鸟类）	目	雀形目
半环华花天牛	属	华花天牛属
金枝槐	门	被子植物门
窃蠹	中文学名	窃蠹
台湾黑星小灰蝶	亚纲	有翅亚纲
陆奥（日本青森果树试验场培育成的水果）	适应地区	在日本
乳翅卷野螟	分布区域	四川
正合降压茶	别称	正合茶
榆钱	地点分布	河流两岸、山麓和田边
火龙果（水果）	分布区域	热带
黄丽（景天科景天属多年生多肉植物）	属	景天属
绿翅鸭	种	绿翅鸭
肉实树	属	肉实树属
短距槽舌兰	属	槽舌兰属
乌枣	别称	牛奶柿
砂糖桔	中文名	砂糖桔
邂逅奶茶	餐馆名称	邂逅奶茶
文旦（芸香科常绿乔木植物）	纲	双子叶植物纲
草鸮属	种	14种
乌饭子	分布区域	台湾省
黄腹鹿子蛾	目	鳞翅目
雷波铁线莲	族	银莲花族
刺猫爪蛤	目	莺蛤目
黑木蹄层孔菌	中文名	黑木蹄层孔菌
川西翠雀花	科	毛茛科
计算机病毒潜伏性	定义	编制者在计算机程序中插入
杜马变种BC	解释	病毒将把自身复制为系统目录下
斑纹犁头鳐	科	犁头鳐科
小斑姬鹟	目	雀形目
巨骨舌鱼	属	巨骨舌鱼属
比威丹泽尔海蛳螺	纲	腹足纲
土豚拳螺	目	新腹足目
石蚌	界	动物界
线斑土苔蛾	中文学名	线斑土苔蛾
袋形地星	分布区域	山西
花葶乌闲	分布区域	贵州
黑褐芋螺	种	黑褐芋螺
玫瑰鸢尾兰	纲	单子叶植物纲
白菜（十字花科蔬菜）	拉丁学名	Brassicapekinensis(Lour.) Rupr.
白天鹅（雁行目鸭科鸟类）	界	动物界
白腹锦鸡（雉科动物）	中文学名	白腹锦鸡
山地乌头	界	植物界
大鸨	种	大鸨
平菇	别称	北风菌
半钟铁线莲	亚纲	原始花被亚纲
扁桃	亚科	李亚科
巨鸊鷉	二名法	Podilymbus gigas
白鸥（鸻形目鸥科物种）	中文学名	白鸥
纹背绿鹦鹉	属	虎斑鹦鹉属
双唇兰	科	兰科
条纹长鼻螺	门	软体动物门
蓝宝石（多肉植物）	界	植物界
长斑裳凤蝶指名亚种	拉丁学名	Troides oblongomaculatus oblongomaculatus
伊犁乌头	属	乌头属
赛州黄檀	亚纲	原始花被亚纲
条叶银莲花	门	被子植物门
双斑草雀	亚纲	今鸟亚纲
西施马珂蛤	界	动物界
玫瑰毛兰	属	毛兰属
毁灭天使菌	拉丁学名	Amanita virosa
诃子（使君子科、诃子属乔木）	目	桃金娘目
澳洲鳗鲡	二名法	Anguilla australis
粗点隐盾叶甲	界	动物界
矮毛法螺	尺寸	35 - 120 mm
钳唇兰	别称	台湾小蝇兰
波带白钩蛾	科	钩蛾科
白斑尾柳莺指名亚种	拉丁学名	Phylloscopus davisoni davisoni
胧月（景天科植物名称）	染色体数	n=68
鸟足毛茛	界	植物界
拉步甲	拼音	lā　bù　jiǎ
桃红牛肝菌	科	牛肝菌科
飓风芋螺	纲	腹足纲
白腹锦鸡（雉科动物）	科	雉科
马岛鸭	目	雁形目
鲁甸银莲花	纲	双子叶植物纲
翅梗石斛	种	翅梗石斛
主教芋螺	中文学名	主教芋螺
榆钱	归经	入肺、脾、心经
名和蝉寄蛾	次目	双孔次目
玉米细菌性条斑病	界	细菌界
枳树	纲	双子叶植物纲
高钙菜	别称	金不换
畸斗鱼属	目	鲈形目
魟（鱼类）	目	鲼形目
大王酸浆鱿	科	酸浆鱿科
太阳女神螺	类	无椎椎单板纲腹足类
伏毛紫花小升麻	拉丁学名	Cimicifuga acerina (Sieb. et Zucc.) Tanaka f. strigulosa Hsiao
古法小单孢菌	类型	菌类
球壳目	外文名称	Sphaeriales
全唇孟兰	命名者及年代	Honda, 1931
尖叶火烧兰	属	火烧兰属
文旦（芸香科常绿乔木植物）	拼音	yòu zǐ
面条树	别称	阿斯通木
灰林鵖	种	灰林鵖
兰屿沼兰	拉丁学名	Malaxis bancanoides Ames
弯枝乌头	纲	双子叶植物纲
小叶鸢尾兰	种	小叶鸢尾兰
稻切叶螟	分布区域	广东
苦荞茶	别称	鞑靼荞麦
大王酸浆鱿	纲	头足纲 Cephalopoda
安哥拉紫檀	中文名	安哥拉紫檀
斯坦菲尔德芋螺	外文名称	Purpuriconus cardinalis cardinalis stanfieldi
乌鸦（雀形目鸦科鸟类）	门	脊索动物门
地宝兰	亚科	兰亚科
渔猫	亚目	裂脚亚目
白黄侧耳	分布区域	江苏
平卧曲唇兰	门	被子植物门
大山雀	拉丁学名	Parus major
灰良苔蛾	亚纲	有翅亚纲
盾叶云南金莲花	纲	双子叶植物纲
斑头雁	门	脊索动物门
贺开古树茶	位置	勐海县东南部
栎距钩蛾	中文学名	栎距钩蛾
海南山龙眼	门	被子植物门
麻桐树	分布区域	不丹
草席钟螺	纲	腹足纲
赤鲈	纲	硬骨鱼纲
金翅雀（雀科类动物）	亚种	6亚种
钩柱唐松草	命名者及年代	Maxim., 1890
银杏超小卷叶蛾	分布区域	湖北
小果石栎	中文学名	小果石栎
银杏珠天蚕蛾	分布区域	东北
黑缝窄花天牛	中文学名	黑缝窄花天牛
二叶红门兰	拉丁学名	Orchis diantha Schltr.
疏花石斛	属	石斛属
角鼻龙下目	目	蜥臀目
长丝鲈	目	鲈形目
伊拉波病毒	分级	III级
铜绿金花天牛	族	脊花天牛族
消痰利水茶	作用	消痰
白玉春（早熟春萝卜品种）	界	植物界
颗粒角胸肖叶甲	总科	叶甲总科
水社寮双尾蛾	目	鳞翅目
梭孢环柄菇	分布区域	西藏
蓝月亮（菊科千里光属多肉植物）	目	桔梗目
双蕊兰	门	被子植物门
欧绒鸭	命名者及年代	Linnaeus, 1758
多瘤卷管螺	界	动物界
苞毛茛	种	苞毛茛
河南翠雀花	分布区域	陕西
黑枕黄鹂	界	动物界
曲霉属	属	曲霉属
德拉诺伊芋螺	种	德拉诺伊芋螺
蓝带细颈金花虫	分布区域	海拔山区
波瓣兜兰	拉丁学名	Paphiopedi1um insigne
竹枝毛兰	亚科	兰亚科
色口芋螺	界	动物界
美国红鱼	亚目	鲈亚目
微裂银莲花	门	被子植物门 Angiospermae
短柱银莲花	命名者及年代	Chang ex W. T. Wang,1974
尖叶火烧兰	中文学名	尖叶火烧兰
白鹰尺蛾	分类	鳞翅目
长跗角胸肖叶甲	门	节肢动物门
安岛海蛳螺	界	动物界
空柄华鸡[木+从]	科	白蘑科
武昌鱼	别称	团头鲂
鲸头鹳	种	鲸头鹳
小黑花天牛	目	鞘翅目
姬小纹青斑蝶	种	姬小纹青斑蝶
雾鸟（天堂鸟）	别名	极乐鸟
金松科	分布区域	庐山
高钙菜	种	费菜
剃刀嘴凤冠雉	界	动物界
云南核果茶	属	核果茶属
埃尼克芋螺	命名时间	1860年
木犀榄	中文学名	木犀榄
大理翠雀花	族	翠雀族
马岛鸭	别称	马达加斯加岛水鸭、伯尼尔鸭
矛纹云斑野螟	科	螟蛾科
木里乌头	属	乌头属
楸螟	属	蠹野螟属
阴地银莲花	亚纲	原始花被亚纲
蜥蜴（有鳞目蜥蜴亚目内爬行动物的总称）	中文学名	蜥蜴
烟柳莺昌都亚种	种	烟柳莺
青柠（水果）	别称	莱姆
二红猎夜蛾	拉丁学名	Eublemma dimidialis(Fabricius)
红豆杉	环境分布	高寒石灰岩山区
太平洋扁鲨	亚纲	板鳃亚纲
达利氏芋螺	门	软体动物门
壮开普墩宝螺	拉丁学名	Cypraea capensis profundorum
蓝姑茶	茶材	板蓝根
鹊（鸟类名称）	属于	鸟类
I-Worm/BBEagle.l	病毒长度	9,728 bytes
厚嘴绿鸠	门	脊索动物门
蜀侧金盏花	命名者及年代	Franch., 1894
小孢毛鬼伞	亚纲	同担子菌亚纲
金昌鱼	分布区域	分布范围广主要是热带海域
榴莲（热带著名水果之一）	纲	双子叶植物纲
山紫茶	用法	用200ml开水冲泡后饮用
白斑黑石鵖	别称	小黑白
海南盆距兰	拉丁学名	Gastrochilus hainanensis Z. H. Tsi
格林环孔菌	纲	担子菌纲
华胸突鳃金龟	种	华胸突鳃金龟
灰鹡鸰	目	雀形目
密花兜被兰	界	植物界
佛兰德斯的狗（英国奥维达小说）	页数	168
芝麻淡水笠螺	纲	腹足纲
草地螟	分布区域	吉林 内蒙古 黑龙江 宁夏 甘肃 青海 河北 山西 陕西 江苏等省
云南白毫茶	品质特征	条索紧直如针，锋苗挺秀
四大家鱼	纲	硬骨鱼纲 Osteichthyes
银钟花	科	安息香科
短瓣兰	科	兰科
梁龙（梁龙科的一属恐龙）	亚目	蜥脚形亚目 Sauropodomorpha
脱皮树	纲	双子叶植物纲
南亚超级病菌	来源地	印度
伪锯花天牛	中文学名	伪锯花天牛
阿里山鸢尾兰	亚科	兰亚科
夏天麻	科	兰科
河南翠雀花	亚纲	五桠果亚纲
小斑长跗萤叶甲	分布区域	江西
缀叶丛螟	别称	缀叶丛螟
鸳鸯（鸳鸯属鸟类）	别称	邓木鸟
莲雾	拼音	lián wù
半环华花天牛	中文学名	半环华花天牛
象牙白木耳	目	木耳目
锯带翠蛱蝶	种	锯带翠蛱蝶
白毛蕊茶	亚科	山茶亚科
IPS（诱导多能干细胞）	制造者	山中申弥
欧绒鸭	亚纲	今鸟亚纲
菌坚强	产品	制作有机肥及其它生物制剂
姬秋丽	亚门	木贼亚门
蓟柄锈菌	编号	226
斐济海蛳螺	种	斐济海蛳螺
山雀科	拉丁学名	Paridae
担子菌门	中文学名	担子菌门
白顶鵖普通亚种	科	鹟科
菌幕	所属目	伞菌目
大黑星龟金花虫	亚门	有颚亚门
窄叶半枫荷	界	植物界
白梅茶	引种数量	2株
蛇舌兰	科	兰科
北越年婆	门	种子植物门
日本狼青犬	目	食肉目
裂迭灵芝	中文名	裂迭灵芝
大瓣毛茛	界	植物界
肺鱼（鱼类）	亚门	脊椎动物亚门(Vertebrata)
长喙唐松草	拉丁学名	Thalictrum macrorhynchum Franch.
珠光蛇	属	珠光蛇属
火龙珠（水果）	品种类别	番茄
绿金花天牛	族	脊花天牛族
越南栲	属	Castanopsis Spach
多纹海蛳螺	门	软体动物门
广东长尾花天牛	拉丁学名	Pygostrangaliakwangtungensis(Gressitt，1939)
玫瑰色链霉菌	界	细菌界
阿拉斯加雪橇犬	族	犬
锯尾钻柱兰	种	锯尾钻柱兰
绿翅宽尾花天牛	亚纲	有翅亚纲
伏毛银莲花	科	毛茛科
多根乌头	中文学名	多根乌头
美丽纹胸鮡	拉丁学名	Glyptothorax lamprisFowler
天鹅（鸭科雁族鸟类）	亚门	脊椎动物亚门
南海玉米卷管螺	拉丁学名	Inquisitor variabilis
黄河鲤	亚纲	辐鳍鱼亚纲
褐黄金钱菌	科	白蘑科
白喉石鵖	目	雀形目
赭褐枝瑚菌	科	枝瑚菌科
寺町宝螺	界	动物界
湿地岩黄芪单胞锈菌	拉丁纲名	Basidiomycetes
甜菜螟	分布区域	北京
斑龙（恐龙名称）	界	动物界
塞加红唇宝螺	目	中腹足目
一条狗（漫画《一条狗》中的狗）	中文名	一条狗
凝脂莲	学名发表年	1975
休宁松萝	是否含防腐剂	否
刀叶石斛	中文学名	刀叶石斛
特洛伊病毒Win32.Covesmer.AB	中文名	特洛伊病毒
黄石斛	中文学名	黄石斛
较高丝膜菌	拉丁学名	Cortinarius elatior Fr.
巢湖小银鱼	特征	体形细长、洁白如银
分泌细胞	产生	由基本分生组织细胞分化而来
硬荀革菌	目	非褶菌目
矛隼	界	动物界
闪烁杆菌属	最适生长温度	70℃
恐龙探秘（2007年大卫·克拉克、贝雷·西雷克导演电影）	外文名称	Dinosaurs Alive
休宁松萝	产地	安徽休宁
乌饭子	分布区域	华东
夜鹰（夜鹰属鸟类的统称）	分布区域	全世界的温带和热带区
金钱豹（猫科动物）	亚科	豹亚科
芸豆（一种豆类蔬菜）	目	蔷薇目
丽江铁线莲	目	毛莨目
田无链霉菌	分类	--细菌--放线菌
猪草金花虫	中文学名	猪草金花虫
宽角皱鞘肖叶甲	中文学名	宽角皱鞘肖叶甲
彩凤（虎皮鹦鹉）	别名	阿苏儿,皮皮
海蓝纹夜蛾	纲	昆虫纲
鹦鹉嘴龙（恐龙）	科	鹦鹉嘴龙科
秀丽兜兰	纲	单子叶植物纲
青鱼（动物）	科	鲤科
降脂药茶	做法	将以上4味加水煎
喀尔多尼亚山猫宝螺	纲	腹足纲
南火绳	种	南火绳
青鱼（动物）	门	脊索动物门
双带缟鰕虎	亚目	虾虎鱼亚目
梦幻闪蝶指名亚种	拉丁学名	Morpho deidamia deidamia（Hubner, [1819）
珍珠鸡	二名法	山鸡
莱姆伯芋螺	别称	拉氏芋螺
台湾明孢炱	纲	子囊菌纲
莫桑芋螺	中文学名	莫桑芋螺
桃之卵	亚门	木贼亚门
王翼笔螺	螺壳尺寸	30 - 76 mm
外囊菌目	目	原囊菌目
鱼虱	英文名称	fish louse
金焰笛鲷	拉丁学名	Lutjanus fulviflamma (Forskål，1775)
金环宝螺	种	金环宝螺
粉蕉小球腔菌	拉丁学名	Leptosphaeria musae
龙舞茶	色泽	色泽翠绿，满披白毫
透翅蛾	纲	昆虫纲 Insecta
双蕊兰	科	兰科
毛地黄尾孢	纲	半知菌纲
栎距钩蛾	门	节肢动物门
枇杷树	中文学名	枇杷树
印记TIME港式奶茶	餐馆名称	印记TIME港式奶茶
古巴光盖伞	属	光盖伞属
高腰锹形海蛳螺	命名者	Adams & Reeve，1850
白鹏（鸟类）	科	雉科
阿哥芋螺	门	软体动物门
伯瑞犬	门	脊索动物门 Chordata
虎皮香菇	属	香菇属
I-Worm/Luder.f	外文名	I-Worm/Luder.f
Win32.Parite.a	影响系统	Win9x / WinNT/Win32
显脉鸢尾兰	纲	单子叶植物纲
木里乌头	纲	双子叶植物纲
滇川银莲花	种	滇川银莲花
黄笔螺	分布区域	印尼,台湾兰屿，屏东县恒春半岛，大树房，台湾东北角
沙燕（雀形目鸟类）	界	动物界
广西密花树	目	报春花目
大伪步行虫	界	动物界
缀叶丛螟	目	鳞翅目
点带石斑鱼	中文学名	点带石斑鱼
伊氏石斑鱼	门	脊索动物门
风芷茶	中文名	风芷茶
双斑草雀	命名者及年代	Vigors & Horsfield, 1827
齿鲸	科	剑吻鲸科
金鲳鱼	目	鲈形目
